Date,Open,High,Low,Close,Adj Close,Volume
2015-09-17,36.669998,36.669998,35.650002,36.250000,31.553999,13545
2015-09-18,37.099998,37.099998,37.099998,36.250000,31.553999,728
2015-09-21,37.099998,37.099998,37.099998,36.250000,31.553999,75
2015-09-22,35.500000,35.500000,35.500000,35.500000,30.901155,10000
2015-09-23,35.500000,35.500000,35.500000,35.500000,30.901155,0
2015-09-24,35.049999,35.049999,32.000000,32.500000,28.289789,31754
2015-09-25,32.099998,32.750000,32.099998,32.000000,27.854561,17024
2015-09-28,32.500000,32.500000,31.100000,32.000000,27.854561,2114
2015-09-29,31.100000,32.625000,31.100000,32.000000,27.854561,45000
2015-09-30,31.000000,32.389999,30.190001,32.000000,27.854561,43740
2015-10-01,32.480000,32.480000,32.480000,32.000000,27.854561,15280
2015-10-02,31.500000,31.500000,31.500000,32.000000,27.854561,20000
2015-10-05,31.500000,31.500000,30.299999,31.000000,26.984106,46135
2015-10-06,30.254999,30.254999,30.254999,31.000000,26.984106,1693
2015-10-07,31.450001,31.450001,30.000000,31.000000,26.984106,25152
2015-10-08,31.299999,31.650000,30.350000,31.250000,27.201721,14970
2015-10-09,31.549999,31.750000,31.549999,31.250000,27.201721,5325
2015-10-12,31.250000,31.250000,31.250000,31.250000,27.201721,0
2015-10-13,31.150000,31.500000,31.150000,31.500000,27.419334,10292
2015-10-14,31.900000,31.900000,31.900000,31.750000,27.636948,15000
2015-10-15,31.988001,31.988001,31.580000,32.000000,27.854561,26890
2015-10-16,32.200001,32.200001,32.188000,32.000000,27.854561,2400
2015-10-19,32.000000,32.000000,32.000000,32.000000,27.854561,0
2015-10-20,32.389999,32.389999,32.389999,32.750000,28.507402,30770
2015-10-21,33.150002,33.150002,33.150002,32.750000,28.507402,7468
2015-10-22,33.150002,33.150002,33.150002,32.750000,28.507402,1950
2015-10-23,32.750000,32.750000,32.750000,32.750000,28.507402,0
2015-10-26,32.750000,32.750000,32.750000,32.750000,28.507402,0
2015-10-27,32.750000,32.750000,32.750000,32.750000,28.507402,0
2015-10-28,32.750000,32.750000,32.750000,32.750000,28.507402,0
2015-10-29,31.680000,31.680000,31.680000,32.750000,28.507402,4725
2015-10-30,32.750000,32.750000,32.750000,32.750000,28.507402,0
2015-11-02,32.750000,32.750000,32.750000,32.750000,28.507402,0
2015-11-03,32.750000,32.750000,32.750000,32.750000,28.507402,0
2015-11-04,33.066002,33.066002,33.066002,32.750000,28.507402,7402
2015-11-05,33.049999,33.049999,33.049999,32.750000,28.507402,145
2015-11-06,32.750000,32.750000,32.750000,32.750000,28.507402,0
2015-11-09,32.259998,32.259998,32.259998,33.500000,29.160246,4048
2015-11-10,33.500000,33.500000,33.500000,33.500000,29.160246,0
2015-11-11,34.200001,34.200001,34.066002,33.500000,29.160246,6808
2015-11-12,35.660000,35.660000,35.660000,36.000000,31.336380,6300
2015-11-13,35.400002,35.400002,35.400002,36.000000,31.336380,3170
2015-11-16,35.200001,35.200001,35.200001,36.000000,31.336380,765
2015-11-17,35.200001,35.200001,35.200001,36.000000,31.336380,1334
2015-11-18,35.200001,35.200001,35.200001,36.000000,31.336380,2800
2015-11-19,35.000000,35.000000,35.000000,35.500000,30.901155,7763
2015-11-20,34.200001,34.200001,34.200001,35.500000,30.901155,253
2015-11-23,35.889999,35.889999,35.889999,35.500000,30.901155,2342
2015-11-24,35.700001,35.700001,35.700001,35.500000,30.901155,2500
2015-11-25,34.200001,34.200001,34.200001,35.500000,30.901155,1300
2015-11-26,35.500000,35.500000,35.500000,35.500000,30.901155,0
2015-11-27,35.700001,35.700001,35.700001,35.500000,30.901155,1000
2015-11-30,35.500000,35.500000,35.500000,35.500000,30.901155,0
2015-12-01,34.200001,35.000000,33.000000,34.500000,30.030701,14061
2015-12-02,34.500000,34.500000,34.500000,34.500000,30.030701,0
2015-12-03,33.000000,33.000000,33.000000,34.500000,30.030701,960
2015-12-04,34.500000,34.500000,34.500000,34.500000,30.030701,0
2015-12-07,33.000000,34.700001,33.000000,34.500000,30.030701,3881
2015-12-08,34.500000,34.500000,34.500000,34.500000,30.030701,0
2015-12-09,34.500000,34.500000,34.500000,34.500000,30.030701,0
2015-12-10,34.500000,34.500000,34.500000,34.500000,30.030701,0
2015-12-11,34.500000,34.500000,34.500000,34.500000,30.030701,0
2015-12-14,33.000000,33.000000,33.000000,34.500000,30.030701,450
2015-12-15,33.000000,33.000000,30.299999,31.500000,27.419334,13895
2015-12-16,32.450001,32.450001,32.450001,31.500000,27.419334,1650
2015-12-17,30.299999,30.450001,26.000000,28.500000,24.807970,45671
2015-12-18,29.200001,29.200001,26.500000,28.000000,24.372742,12462
2015-12-21,28.200001,28.200001,28.200001,28.500000,24.807970,11553
2015-12-22,26.500000,26.500000,26.000000,27.500000,23.937511,28000
2015-12-23,26.000000,26.000000,26.000000,26.500000,23.067060,7791
2015-12-24,null,null,null,null,null,null
2015-12-29,26.799999,26.799999,26.799999,26.750000,23.284674,3731
2015-12-30,26.750000,26.750000,26.750000,26.750000,23.284674,0
2015-12-31,null,null,null,null,null,null
2016-01-04,26.950001,26.950001,26.600000,26.750000,23.284674,6115
2016-01-05,26.600000,26.950001,26.600000,27.750000,24.155128,8950
2016-01-06,27.750000,27.750000,27.750000,27.750000,24.155128,0
2016-01-07,27.700001,27.700001,27.700001,27.250000,23.719900,173
2016-01-08,27.250000,27.250000,27.250000,27.250000,23.719900,0
2016-01-11,27.250000,27.250000,27.250000,27.250000,23.719900,0
2016-01-12,27.250000,27.250000,27.250000,27.250000,23.719900,0
2016-01-13,27.250000,27.250000,27.250000,27.250000,23.719900,0
2016-01-14,26.750000,26.750000,26.750000,26.750000,23.284674,0
2016-01-15,26.750000,26.750000,26.750000,26.750000,23.284674,0
2016-01-18,26.750000,26.750000,26.750000,26.750000,23.284674,0
2016-01-19,26.750000,26.750000,26.750000,26.750000,23.284674,0
2016-01-20,24.500000,24.500000,24.500000,25.500000,22.196606,14000
2016-01-21,26.100000,26.100000,26.100000,25.500000,22.196606,2000
2016-01-22,24.000000,24.000000,24.000000,24.750000,21.543762,15061
2016-01-25,24.875000,24.875000,24.875000,24.500000,21.326149,25000
2016-01-26,24.250000,24.250000,24.250000,24.250000,21.108536,0
2016-01-27,24.250000,24.250000,24.250000,24.250000,21.108536,0
2016-01-28,24.445000,24.445000,24.445000,24.250000,21.108536,500
2016-01-29,24.950001,24.950001,24.950001,25.000000,21.761375,1500
2016-02-01,25.000000,25.000000,25.000000,25.000000,21.761375,0
2016-02-02,25.900000,25.900000,25.900000,25.000000,21.761375,3500
2016-02-03,25.000000,25.000000,25.000000,25.000000,21.761375,0
2016-02-04,25.000000,25.000000,25.000000,25.000000,21.761375,0
2016-02-05,25.900000,25.900000,22.299999,23.250000,20.238079,83541
2016-02-08,23.250000,23.250000,23.250000,23.250000,20.238079,0
2016-02-09,23.250000,23.250000,23.250000,23.250000,20.238079,0
2016-02-10,22.600000,22.600000,22.600000,23.250000,20.238079,941
2016-02-11,22.500000,23.740000,22.500000,23.000000,20.020468,11403
2016-02-12,23.000000,23.000000,23.000000,23.000000,20.020468,0
2016-02-15,22.000000,22.000000,22.000000,22.500000,19.585239,10000
2016-02-16,22.500000,22.500000,22.500000,22.500000,19.585239,0
2016-02-17,20.500000,20.500000,20.500000,21.500000,18.714781,10000
2016-02-18,20.500000,20.500000,20.500000,21.000000,18.279558,3731
2016-02-19,21.000000,21.000000,21.000000,21.000000,18.279558,0
2016-02-22,21.000000,20.049999,20.000000,21.000000,18.279558,3917
2016-02-23,21.000000,21.000000,21.000000,21.000000,18.279558,0
2016-02-24,21.000000,21.000000,21.000000,21.000000,18.279558,0
